Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,10u,
"C10, C15, C16, C17, C18, C6",0603,6,1uf,
"C11, C12, C13, C7",0603,4,0.1uf,
"C14, C8, C9",0603,3,10uf,
C2,0603,1,470pF,
C3,0805,1,2.2uF,
D1,D_SMA,1,SS34,
"D2, D3, D4, D5",D_SOD-323,4,1N4148W,
J1,Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"J2, J4, J5, J6",Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,4,Conn_01x02_Female,
"J8, J9",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Female,
"LED1, LED7, LED8",0603,3,POW_LED,
"LED4, LED5, LED6",0603,3,LED,
"R1, R30, R31",0603,3,470R,
"R10, R11, R12, R14, R18, R19, R20, R21, R3, R4, R5, R6",0603,12,10k,
R13,0603,1,4.7k,
"R15, R16, R17",0603,3,1K,
"R2, U4, U5",0603,3,100K,
SW1,SW-SMD_MSK-03-HB,1,K3-1280S-F1,
"T1, T2, T3, T4",SOT95P240X115-3N,4,SI2302DS-T1,
U1,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U2,BS01,1,~,
U3,SOT-23-5,1,MIC5219-3.3YM5,
U8,ESP32-WROOM-32,1,ESP32-WROOM-32,
U9,mpu6050,1,MPU-6050,
